"filename", "language", "CSS", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"c:\Users\MIXPC\Desktop\Kino\kino\src\App.css", "CSS", 71, 0, 0, 0, 0, 3, 74
"c:\Users\MIXPC\Desktop\Kino\kino\src\App.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 8, 29
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchActorId.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 4, 29
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchCollection.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 27
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchCollectionMovies.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 1, 27
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchFilmId.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 3, 28
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchPopular.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 2, 26
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchRandomFilm.jsx", "JavaScript JSX", 0, 25, 0, 0, 3, 2, 30
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchRandomSerials.jsx", "JavaScript JSX", 0, 25, 0, 0, 4, 4, 33
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchTopFilms.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 2, 27
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchTopNow.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 1, 26
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchTopSerials.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 3, 28
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\FetchWaitFilms.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 3, 28
"c:\Users\MIXPC\Desktop\Kino\kino\src\api\apiClient.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 1, 8
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\dislike.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\icons8-telegram-app.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\icons8-vk-circled.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\icons8-youtube.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\like.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\play-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\MIXPC\Desktop\Kino\kino\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Footer\Footer.css", "CSS", 70, 0, 0, 0, 0, 2, 72
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 2, 32
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Header\Header.css", "CSS", 81, 0, 0, 0, 0, 6, 87
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Header\Header.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 2, 30
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\HeroSection\HeroSection.jsx", "JavaScript JSX", 0, 48, 0, 0, 1, 8, 57
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\HeroSection\HeroSection.module.css", "CSS", 127, 0, 0, 0, 0, 15, 142
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Hooks\useFetch.jsx", "JavaScript JSX", 0, 21, 0, 0, 1, 4, 26
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\KinoSlider\KinoSlider.jsx", "JavaScript JSX", 0, 58, 0, 0, 15, 9, 82
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\KinoSlider\KinoSlider.module.css", "CSS", 92, 0, 0, 0, 0, 7, 99
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieActor\MovieActor.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 5, 44
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieActor\MovieActor.module.css", "CSS", 25, 0, 0, 0, 0, 4, 29
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieHero\MovieHero.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 8, 90
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieHero\MovieHero.module.css", "CSS", 92, 0, 0, 0, 0, 3, 95
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieInfo\MovieInfo.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 1, 37
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieInfo\MovieInfo.module.css", "CSS", 68, 0, 0, 0, 0, 5, 73
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieSimular\MovieSimular.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 5, 57
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\MovieSimular\MovieSimular.module.css", "CSS", 77, 0, 0, 0, 0, 6, 83
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\NewRelease\NewRelease.css", "CSS", 86, 0, 0, 0, 0, 11, 97
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\NewRelease\NewRelease.jsx", "JavaScript JSX", 0, 55, 0, 0, 1, 9, 65
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\PlayerModal\PlayerModal.css", "CSS", 37, 0, 0, 0, 0, 1, 38
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\PlayerModal\PlayerModal.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 4, 26
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Preloader\Preloader.css", "CSS", 11, 0, 0, 0, 0, 0, 11
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\Preloader\Preloader.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 2, 10
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\RandomFilm\RandomFilm.css", "CSS", 82, 0, 0, 0, 0, 3, 85
"c:\Users\MIXPC\Desktop\Kino\kino\src\components\RandomFilm\RandomFilm.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 3, 36
"c:\Users\MIXPC\Desktop\Kino\kino\src\index.css", "CSS", 46, 0, 0, 0, 0, 5, 51
"c:\Users\MIXPC\Desktop\Kino\kino\src\main.jsx", "JavaScript JSX", 0, 16, 0, 0, 3, 3, 22
"c:\Users\MIXPC\Desktop\Kino\kino\src\movies.json", "JSON", 0, 0, 46, 0, 0, 1, 47
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\ActorPage.jsx", "JavaScript JSX", 0, 48, 0, 0, 1, 12, 61
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\ActorPage.module.css", "CSS", 45, 0, 0, 0, 0, 3, 48
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\CollectionsPage.jsx", "JavaScript JSX", 0, 53, 0, 0, 1, 7, 61
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\CollectionsPage.module.css", "CSS", 87, 0, 0, 0, 48, 8, 143
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\FilmPage.css", "CSS", 174, 0, 0, 0, 0, 6, 180
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\MainPage.jsx", "JavaScript JSX", 0, 44, 0, 0, 1, 3, 48
"c:\Users\MIXPC\Desktop\Kino\kino\src\pages\MoviePage.jsx", "JavaScript JSX", 0, 34, 0, 0, 1, 8, 43
"Total", "-", 1271, 1012, 46, 11, 80, 220, 2640